,Rank,Channel Info,Influence Score,Followers,Avg. Likes,Posts,60-Day Eng Rate,New Post Avg. Likes,Total Likes,Country Or Region,Followers_1,Avg. Likes_1,Posts_1,New Post Avg. Likes_1,Total Likes_1
163,164,hm,83,38.5m,86.4k,7.4k,0.0,17.5k,637.0m,Sweden,38500000.0,86400.0,7400.0,17500.0,637000000.0
164,165,marvelstudios,83,38.4m,594.2k,2.8k,0.016,555.9k,1.7b,,38400000.0,594200.0,2800.0,555900.0,1700000000.0
165,166,rkive,83,38.4m,10.6m,115,0.171,6.5m,1.2b,,38400000.0,10600000.0,2800.0,6500000.0,1200000000.0
166,167,parineetichopra,84,38.3m,504.8k,1.3k,0.011,431.8k,671.9m,,38300000.0,504800.0,1300.0,431800.0,671900000.0
167,168,wesleysafadao,80,37.8m,250.9k,8.9k,0.002,77.8k,2.2b,,37800000.0,250900.0,8900.0,77800.0,2200000000.0
168,169,laudyacynthiabella,76,37.3m,154.6k,397,0.001,46.4k,61.4m,Indonesia,37300000.0,154600.0,8900.0,46400.0,61400000.0
169,170,gisel_la,85,36.8m,149.1k,9.9k,0.001,33.4k,1.5b,,36800000.0,149100.0,9900.0,33400.0,1500000000.0
170,171,antogriezmann,83,36.7m,1.1m,890,0.005,193.6k,936.6m,France,36700000.0,1100000.0,9900.0,193600.0,936600000.0
171,172,eminem,84,36.6m,988.4k,691,0.011,382.5k,683.0m,United States,36600000.0,988400.0,9900.0,382500.0,683000000.0
172,173,mercedesbenz,77,36.2m,197.9k,10.0k,0.002,64.6k,2.0b,British Virgin Islands,36200000.0,197900.0,10000.0,64600.0,2000000000.0
173,174,sachintendulkar,76,36.1m,800.4k,1.0k,0.02,664.5k,829.2m,,36100000.0,800400.0,1000.0,664500.0,829200000.0
174,175,nattinatasha,47,36.1m,513.2k,59,0.006,201.6k,30.3m,Czech Republic,36100000.0,513200.0,1000.0,201600.0,30300000.0
175,176,kimberly.loaiza,78,36.0m,2.6m,549,0.043,1.5m,1.4b,Mexico,36000000.0,2600000.0,1000.0,1500000.0,1400000000.0
176,177,shahidkapoor,82,36.0m,1.3m,1.2k,0.025,780.0k,1.5b,,36000000.0,1300000.0,1200.0,780000.0,1500000000.0
177,178,tigerjackieshroff,83,36.0m,1.0m,2.1k,0.01,345.3k,2.2b,India,36000000.0,1000000.0,2100.0,345300.0,2200000000.0
178,179,blakelively,80,35.9m,3.1m,120,0.04,1.4m,366.1m,United States,35900000.0,3100000.0,2100.0,1400000.0,366100000.0
179,180,colesprouse,81,35.8m,2.2m,1.2k,0.023,834.5k,2.6b,,35800000.0,2200000.0,1200.0,834500.0,2600000000.0
180,181,simonemendes,72,35.7m,419.7k,4.4k,0.006,216.6k,1.9b,Brazil,35700000.0,419700.0,4400.0,216600.0,1900000000.0
181,182,toni.krs,83,35.6m,597.8k,946,0.012,432.5k,565.5m,,35600000.0,597800.0,4400.0,432500.0,565500000.0
182,183,lunamaya,83,35.4m,145.4k,4.1k,0.002,58.6k,594.0m,,35400000.0,145400.0,4100.0,58600.0,594000000.0
183,184,barackobama,81,35.4m,1.1m,682,0.012,411.5k,758.4m,United States,35400000.0,1100000.0,4100.0,411500.0,758400000.0
184,185,ivetesangalo,84,35.1m,226.4k,7.7k,0.004,121.1k,1.7b,Brazil,35100000.0,226400.0,7700.0,121100.0,1700000000.0
185,186,paollaoliveirareal,84,34.9m,352.0k,4.7k,0.004,132.9k,1.6b,,34900000.0,352000.0,4700.0,132900.0,1600000000.0
186,187,dannapaola,68,34.8m,1.5m,2.0k,0.035,1.2m,2.9b,Mexico,34800000.0,1500000.0,2000.0,1200000.0,2900000000.0
187,188,disney,77,34.7m,185.2k,7.5k,0.004,132.0k,1.4b,United States,34700000.0,185200.0,7500.0,132000.0,1400000000.0
188,189,shaymitchell,83,34.5m,715.4k,6.3k,0.006,198.7k,4.5b,United States,34500000.0,715400.0,6300.0,198700.0,4500000000.0
189,190,adidasoriginals,83,34.1m,136.2k,180,0.002,66.8k,24.5m,,34100000.0,136200.0,6300.0,66800.0,24500000.0
190,191,zidane,41,34.0m,1.0m,377,0.017,578.4k,387.7m,France,34000000.0,1000000.0,6300.0,578400.0,387700000.0
